Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
BigMec_1e1,23,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
BigMec_1e2,203,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
BigMec_1e3,2003,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
BigMec_1e4,20003,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,E,T,0.4,T,T,T,T,0.4,0.4,0.4,T,0.4,0.4,0.4
ManyMECs_1e1,32,0.49999919835057005,0.49999999999999983,0.4999990478494726,0.49999999999999983,0.4999990478494726,0.49999919835057005,0.49999997167732674,0.49999926326488436,0.5,0.49999959681140604,0.49999959681140604,0.4999989943835035,T,0.49999926326488436,0.500000000000001,0.4999999999999994,E,V,0.49999954444926825,T,V,0.4999999999999994,T,0.49999882802018214,0.49999919835057005
ManyMECs_1e2,302,0.49999902089669956,0.49999999999999983,0.499999578292507,0.49999999999999983,0.499999578292507,0.49999902089669956,0.49999999756832475,0.499999578292507,0.5,0.4999997442080652,0.4999997442080652,0.49999764823429166,T,0.499999578292507,0.500000000000011,0.4999999999999931,E,V,T,T,V,0.4999999999999931,T,0.4999970407068775,0.49999902089669956
ManyMECs_1e3,3002,0.4999990646800019,0.49999999999999983,T,0.49999999999999983,T,0.4999990646800019,0.4999999693374801,0.49999952025035066,T,0.4999998164962959,0.4999998164962959,0.49999276955159316,T,0.49999952025035066,0.5000000000001109,0.49999999999993067,E,V,T,T,V,0.49999999999993067,T,0.4999921667069014,0.4999990646800019
hm_10,21,0.499999500196994,0.49999950296117135,0.4999995065333596,0.499999500196994,0.49999950006663363,0.49999950296117135,0.49999975698776333,0.4999995065333596,0.49999999999999994,0.49999975657758766,0.49999975657758766,V,0.499999999999997,0.49999950006663363,0.499999999999997,0.499999999999997,0.499999999999997,0.499999999999997,0.4999997503270983,0.49999999999999994,0.499999758535945,0.499999999999997,0.49999949973887275,V,0.49999906723879284
hm_20,41,0.49999950000034854,0.49999950000583115,0.4999995000121497,0.49999950000034854,0.49999950000061605,0.49999950000583115,0.4999997500531844,0.4999995000121497,0.49999999999999994,0.49999975011827014,0.49999975011827014,E,0.5000000000004442,0.49999950000061605,0.5000000000004442,0.5000000000004442,0.5000000000004442,0.5000000000004442,0.49999975000066343,0.49999999999999994,0.49999975012168063,0.5000000000004442,0.49999950000029814,V,0.49999906671517214
hm_25,51,T,T,T,T,T,T,T,T,0.49999999999999994,T,T,E,0.5000000000004442,T,T,T,T,0.5000000000004442,T,0.49999999999999994,T,0.5000000000004442,T,9.911605984120589E-5,
hm_5,11,0.4999995084322679,0.49999956430407366,0.499999605872444,0.4999995084322679,0.49999950221672856,0.49999956430407366,0.49999989582634796,0.499999605872444,0.49999999999999994,0.49999987704699006,0.49999987704699006,0.49999000504011987,0.4999999999999999,0.49999950221672856,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999997629277797,0.49999999999999994,0.49999987998723494,0.4999999999999999,0.4999994903682065,0.4999802517189955,0.49999907227085105
