Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,OVI_100_opt,QP_G,QP_G_T,TBVI_100,TBVI_100_DTMC,TBVI_100_LP,TGBVI_100,TGBVI_100_DTMC,TGBVI_100_LP,TOVI_100,TOVI_100_DTMC,TOVI_100_LP,TOVI_100_opt,TOVI_100_opt_DTMC,TOVI_100_opt_LP
ManyMECs_10,32,,,5600,5600,225,225,,,25300,25300,25300,25300,25300,25300,59,59,59,59,59,59
ManyMECs_100,302,,,25200,25200,1418,1418,,,277300,277300,277300,277300,277300,277300,239,239,239,239,239,239
ManyMECs_1000,3002,,,,,13269,13269,,,2797300,2797300,2797300,2797300,2797300,2797300,2039,2039,2039,2039,2039,2039
ManyMECs_200,602,,,43900,43900,2550,2550,,,557300,557300,557300,557300,557300,557300,439,439,439,439,439,439
ManyMECs_300,902,,,61800,61800,3656,3656,,,837300,837300,837300,837300,837300,837300,639,639,639,639,639,639
ManyMECs_400,1202,,,79200,79200,4773,4773,,,1117300,1117300,1117300,1117300,1117300,1117300,839,839,839,839,839,839
ManyMECs_50,152,,,15100,15100,819,819,,,137300,137300,137300,137300,137300,137300,139,139,139,139,139,139
ManyMECs_500,1502,,,96300,96300,6829,6829,,,1397300,1397300,1397300,1397300,1397300,1397300,1039,1039,1039,1039,1039,1039
ManyMECs_600,1802,,,113200,113200,8135,8135,,,1677300,1677300,1677300,1677300,1677300,1677300,1239,1239,1239,1239,1239,1239
ManyMECs_700,2102,,,,129900,9415,9415,,,1957300,1957300,1957300,1957300,1957300,1957300,1439,1439,1439,1439,1439,1439
ManyMECs_800,2402,,,,,10697,10697,,,2237300,2237300,2237300,2237300,2237300,2237300,1639,1639,1639,1639,1639,1639
ManyMECs_900,2702,,,163100,163100,11989,11989,,,2517300,2517300,2517300,2517300,2517300,2517300,1839,1839,1839,1839,1839,1839
