Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP,WP_OVI,WP_P3
BigMec_1e1,23,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39999999999999963,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
BigMec_1e2,203,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3999999999999853,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
BigMec_1e3,2003,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4000000000003322,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
BigMec_1e4,20003,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,0.4,0.4000000000111119,,,,0.4,0.4,0.4,,0.4,0.4,0.4,0.4,0.4
ManyMECs_1e1,32,0.49999919835057005,0.49999999999999983,0.4999999999999625,0.49999919835057005,0.49999997167732674,0.49999950519932235,0.5,0.49999959681140604,0.49999959681140604,0.4999989943835035,0.5,0.4999982378750668,0.5000000000000012,0.4999999999999994,,0.0,0.49999954444926825,0.5000000000000004,1.3107198276795007E-4,0.4999999999999994,,0.49999882802018214,0.49999919835057005,0.49999882802018214,0.49999919835057005
ManyMECs_1e2,302,0.49999902089669956,0.49999999999999983,0.4999995644194407,0.49999902089669956,0.49999999756832475,0.4999999522166015,0.5,0.4999997442080652,0.4999997442080652,0.49999764823429166,0.5,0.49999985502272104,0.5000000000000138,0.4999999999999931,,0.0,,0.5000000000000004,2.0086722912433512E-40,0.4999999999999931,,0.4999970407068775,0.49999902089669956,0.4999970407068775,0.49999902089669956
ManyMECs_1e3,3002,0.4999990646800019,0.49999999999999983,0.49999952025039196,0.4999990646800019,0.4999999693374801,0.4999999842763213,0.5000000000000001,0.4999998164962959,0.4999998164962959,0.49999276955159316,0.5,0.4999999645995764,0.5000000000001387,0.49999999999993067,,0.0,,0.5000000000000004,0.0,0.49999999999993067,,0.4999921667069014,0.4999990646800019,0.4999921667069014,0.4999990646800019
hm_10,21,0.499999500196994,0.499999500196994,0.49999950006663363,0.49999950296117135,0.49999975698776333,0.4999995065333596,0.49999999999999994,0.49999975657758766,0.49999975657758766,0.4996198267673878,0.499999999999997,0.49999950006663363,0.49999999999999994,0.499999999999997,0.499999999999997,0.499999999999997,0.4999997503270983,0.49999999999999994,0.499999758535945,0.499999999999997,0.49999949973887275,0.49923966059126823,0.49999906723879284,0.49999975681744546,0.49999906723879284
hm_20,41,0.49999950000034854,0.49999950000034854,0.49999950000061605,0.49999950000583115,0.4999997500531844,0.4999995000121497,0.49999999999999994,0.49999975011827014,0.49999975011827014,0.27988957314510005,0.5000000000004442,0.49999950000061605,0.49999999999999994,0.5000000000004442,0.5000000000004442,0.5000000000004442,0.49999975000066343,0.49999999999999994,0.49999975012168063,0.5000000000004442,0.49999950000029814,0.0031636060269257483,0.49999906671517214,0.49999975011827014,0.49999906671517214
hm_25,51,,,,,,,0.49999999999999994,,,0.019108938387649543,0.5000000000004442,,,,,0.5000000000004442,,0.49999999999999994,,0.5000000000004442,,9.911605984120589E-5,,,
hm_5,11,0.4999995084322679,0.4999995084322679,0.49999950221672856,0.49999956430407366,0.49999989582634796,0.499999605872444,0.49999999999999994,0.49999987704699006,0.49999987704699006,0.49999000504011987,0.4999999999999999,0.49999950221672856,0.49999999999999994,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999997629277797,0.49999999999999994,0.49999987998723494,0.4999999999999999,0.4999994903682065,0.4999802517189955,0.49999907227085105,0.49999987224521314,0.49999907227085105
